Unique ID,Start Date,End Date,Q1. What is your current age?  (Age),Q2. What is your gender?  (Gender),Q3. Which of the following best describes the area or community in which you live?  (Urban/Rural),Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes.  (Income),Beer,Flavored/Mixed Beer,Non-Alcoholic Beers,Hard Ciders,Hard Kombucha,Wine,Hard Beverage,Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,Q9. How relevant would you say the shown product is to you based on what you saw and read? (Concept Relevance),Q10. How appealing or unappealing is the shown product  to you? (Concept Appeal),Q11. How different do you think the shown product is from other beers currently available for purchase? (Concept Differentiation),"Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are? (Concept Beleivability)",Q13. How does the price fit with what you’d expect the shown to cost? (Concept_Price),Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores? (Concept_Purchase Intent),"Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products? (Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…?  (Concept_Replacement Product)",Q18_1 What specific product that you are currently using would the shown product replace?  Please type in ONE specific brand or product per space provided.,Q18_2 What specific product that you are currently using would the shown concept replace?  Please type in ONE specific brand or product per space provided.,Q18_3 What specific product that you are currently using would the shown concept replace?  Please type in ONE specific brand or product per space provided.,Unnamed: 35,time_taken,Predicted_OE_Quality_Flag
669,17-10-2024 19:27,17-10-2024 19:31,31,2,5,11,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,5,5,5,4,5,5,9,I like that it always stay the same -taste,Nothing in particular,2,Budweiser,Corona,Heineken,,1163,0
673,17-10-2024 20:06,17-10-2024 20:18,60,1,5,11,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,5,5,5,4,5,5,9,"Really, nothing","I don’t like the look, or the taste, I’ve tasted it but never had a full can or bottle. The price is awful",1,,,,,1163,0
682,17-10-2024 21:24,17-10-2024 21:30,47,1,5,11,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,Nothing,Everything,1,,,,,1163,1
684,17-10-2024 22:24,17-10-2024 22:35,37,1,5,11,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,5,5,5,4,5,5,9,Taste quality and price,Some stores don’t sell it,1,,,,,1163,0
686,17-10-2024 22:44,17-10-2024 22:50,33,1,5,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I like the color,I dislike the brand name,1,,,,,1163,0
687,17-10-2024 22:42,17-10-2024 22:55,58,1,5,11,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,Would like to try,Nothing,3,Budweiser,Bush,Natural light,,1163,0
689,17-10-2024 22:48,17-10-2024 23:04,37,2,5,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Low in calories,Low in alcohol,1,,,,,1163,0
693,17-10-2024 23:14,17-10-2024 23:23,46,1,5,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,It’s light and tastes great,There’s nothing that I dislike,2,Bud Ice,Steele Reserve,Crazy Stallion,,1163,1
703,18-10-2024 00:24,18-10-2024 00:39,39,1,5,11,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,5,5,5,4,5,5,9,I like the flavor mostly. It has a nice light note to it.,There is nothing g that I dislike.,2,Miller Lite,Bud Lite,Corona,,1163,0
727,18-10-2024 06:56,18-10-2024 07:07,31,1,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,9,"It is new and different, trusted  brand",I have nothing to say,1,,,,,1163,0
743,18-10-2024 22:17,18-10-2024 22:29,26,1,5,11,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,5,5,4,5,5,9,The whole aspect of the beer such as how its represented makes me want to buy it. Also it oooks appealing in gold which matches the drink,Not much i can dislike unless ive tasted it and dont like the flavor.,1,,,,,1163,0
748,18-10-2024 23:40,18-10-2024 23:46,29,1,5,11,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,4,5,5,9,I like the flavor,I don’t dislike anything,2,Miller,Modelo,Busch,,1163,0
754,19-10-2024 06:32,19-10-2024 06:49,58,1,5,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,4,5,5,9,Nothing in the ad speaks to me,Poor quality,1,,,,,1163,0
772,19-10-2024 11:37,19-10-2024 11:45,42,2,5,11,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,I like that it's a lager,I don't like that it's light beer,1,,,,,1163,0
775,19-10-2024 12:01,19-10-2024 12:09,36,1,5,11,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,5,5,5,4,5,5,9,Interesting,Reliable,2,Interesting,Interesting,Fantastic,,1163,0
779,19-10-2024 13:16,19-10-2024 13:29,35,1,5,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5,5,5,4,5,5,9,It's tasty,Absolutely nothing.,2,Great,Dark,Tasty,,1163,0
791,19-10-2024 23:00,19-10-2024 23:17,65,2,5,11,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,5,5,5,4,5,5,9,The little less alcohol content for when you’re watching out for the alcohol intake you’re consuming without missing out on the fun that’s gold .,I don’t dislike anything about the beer as a matter a fact I have quite a bit of acquaintances that need to be drinking this beer .,1,,,,,1163,0
806,20-10-2024 16:32,20-10-2024 16:44,35,2,5,11,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,5,5,4,5,5,9,I like the light taste of michelob and would probably want to try this cause it new,Maybe just the price point,2,Corona,Bud light,Bud light lime,,1163,0
816,20-10-2024 21:15,20-10-2024 21:24,61,1,5,11,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,5,5,5,4,5,5,9,It’s something you use to chill out with your friends,Having to go and buy more when you run out,2,Coors light,Bud,Bush,,1163,0
837,20-10-2024 22:24,20-10-2024 23:18,28,1,5,11,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,it sounds like a good twist,i want more flavors,2,corona,miller,yeing,,1163,0
841,21-10-2024 00:36,21-10-2024 00:44,34,1,5,11,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,The way it looks,Pricing,1,,,,,1163,0
846,21-10-2024 05:40,21-10-2024 05:52,37,2,5,11,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,5,5,4,5,5,9,It comes from a brand I feel is good and I trust.,There is nothing I dislike about it right now.,2,Budweiser Select,Michelob Ultra,Bud Light,,1163,0
847,21-10-2024 05:41,21-10-2024 05:56,53,1,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I don't like anything about it,I don't like anything about it,1,,,,,1163,0
892,21-10-2024 13:52,21-10-2024 14:04,47,2,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,4,5,5,9,The packaging is amazing and looks premium and the beer looks so refreshing and amazing,There is nothing to dislike,3,Michelob Ultra,Bud light seltzer,Corona,,1163,0
893,21-10-2024 13:59,21-10-2024 14:07,40,1,5,11,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,It is something different and unique to me.,The price is a little high for what it is.,2,Corona,Busch,Bud light,,1163,0
903,21-10-2024 14:21,21-10-2024 14:33,56,1,5,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I don't know,I don't know,1,,,,,1163,0
911,21-10-2024 14:53,21-10-2024 15:02,58,2,5,11,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,4,5,5,9,It is one I am familar with and my family likes.,Nothing,2,Budweiser,Corona,Heineken,,1163,0
934,21-10-2024 17:31,21-10-2024 17:43,60,1,5,11,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,5,5,5,4,5,5,9,Low carbs,Nothing,2,Miller lite,Stella,Michelob ultra,,1163,0
953,21-10-2024 18:08,21-10-2024 18:30,42,1,5,11,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,It's a really good brand that I trust.,Nothing really,1,,,,,1163,0
954,21-10-2024 18:29,21-10-2024 18:34,38,2,5,11,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,5,5,5,4,5,5,9,No,No,1,,,,,1163,0
958,21-10-2024 18:39,21-10-2024 18:53,55,1,5,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Less calories maybe. I don’t dislike it just not my preference,Nothing,1,,,,,1163,0
966,21-10-2024 18:54,21-10-2024 19:14,29,2,5,11,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,5,5,5,4,5,5,9,Light beer with crispy taste,Nothing to dislike,2,Heineken,Busch,Bud light,,1163,0
970,21-10-2024 19:11,21-10-2024 19:25,64,1,5,11,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,5,5,5,4,5,5,9,High quality beer for not that expensive of price,Not really anything to be honest,1,,,,,1163,0
976,21-10-2024 19:33,21-10-2024 19:40,50,2,5,11,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,5,5,4,5,5,9,Flavor,Nothing,2,,,,,1163,1
979,21-10-2024 19:35,21-10-2024 19:55,58,2,5,11,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,5,5,5,4,5,5,9,"IT IS CRISP AND REFRESHING. IT HAS GREAT TASTE AND NO ARTIFICAL  COLORS OT FLAVORS, IT IS A LIGHT ORGANIC BEER",NOTHING IS DISLIKED,1,,,,,1163,0
984,21-10-2024 19:51,21-10-2024 20:10,65,1,5,11,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,5,5,5,4,5,5,9,It’s got a good color,Budweiser products tend to have weak tastes,2,Michelob Ultra,Miller Lite,Bud Light,,1163,0
1001,21-10-2024 19:56,21-10-2024 20:37,62,2,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,5,5,4,5,5,9,The name Pure Gold,Extra Light,1,,,,,1163,0
1006,21-10-2024 20:24,21-10-2024 20:42,56,1,5,11,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,5,5,5,4,5,5,9,The taste/flavor it has,Doesn't always quench my thirst when having spicy foods,1,,,,,1163,0
1009,21-10-2024 20:40,21-10-2024 20:48,31,2,5,11,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,5,5,4,5,5,9,I like the designa,Nothing,2,Bud light,Cororna,Coors light,,1163,0
1011,21-10-2024 20:36,21-10-2024 20:50,26,2,5,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,4,5,5,9,The smooth taste,It’s very hard to find where I reside they sell out very fast,3,Budweiser,Mescato Wine,Dos XX,,1163,0
1014,21-10-2024 20:43,21-10-2024 20:58,56,2,5,11,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,5,5,4,5,5,9,It's a premium beer. I light the packaging to.,Nothing,3,Busch light,Coors light,Miller light,,1163,0
1047,21-10-2024 22:53,21-10-2024 23:03,63,2,5,11,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,5,5,5,4,5,5,9,Very smooth taste and flavor,Nothing like it very much,2,Miller High Life,Bud light,Corona,,1163,0
1055,21-10-2024 23:01,21-10-2024 23:29,21,2,5,11,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I have never drank it so I can't say,Nothing to say because I've never drank it,1,,,,,1163,0
1072,22-10-2024 00:12,22-10-2024 00:22,41,2,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,low calories,taste,1,,,,,1163,0
1084,22-10-2024 00:40,22-10-2024 00:56,45,2,5,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Low calorie and the price being average,Can’t think of snything,1,,,,,1163,1
1093,22-10-2024 01:52,22-10-2024 02:01,34,2,5,11,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,5,5,5,4,5,5,9,Looks like it would taste really good,Nothing much really,1,,,,,1163,0
1095,22-10-2024 02:05,22-10-2024 02:12,27,1,5,11,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,5,5,5,4,5,5,9,i want to try it before i say i like it.,nothing yet,1,,,,,1163,0
1098,22-10-2024 02:07,22-10-2024 02:19,34,2,5,11,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,5,5,5,4,5,5,9,I think it would taste better because it's organic,I feel like it might be more expensive,2,hurricane,steel reserve,coors light,,1163,0
1112,22-10-2024 03:56,22-10-2024 04:05,54,2,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Nothing,Everything,1,,,,,1163,0
1113,22-10-2024 03:56,22-10-2024 04:13,48,1,5,11,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5,5,5,4,5,5,9,i like it very much,i dont like the color,2,food,apple,gold,,1163,0
1124,22-10-2024 04:36,22-10-2024 04:46,39,1,5,11,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,5,5,5,4,5,5,9,i like it very much,nothing,2,bud light,beer,vodka,,1163,0
1130,22-10-2024 04:41,22-10-2024 04:55,36,1,5,11,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,5,5,5,4,5,5,9,I like the smoothness of the product,I dont dislike it,1,,,,,1163,0
1141,22-10-2024 05:00,22-10-2024 05:11,63,1,5,11,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,"I like the it's organic, made in the USA, and there are no artificial ingredients.",It's very light and light on alcohol.,2,Miller Geniune Draft,Miller Light,Coor Lite,,1163,0
1169,22-10-2024 06:32,22-10-2024 06:54,39,1,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,4,5,5,9,it is good for best,nothing to say,3,good,great,nice,,1163,0
1190,22-10-2024 07:57,22-10-2024 08:08,37,1,5,11,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,5,5,5,4,5,5,9,This is very unique,No dislike all good,3,light lager,Anheuser Busch,Michelob,,1163,0
1192,22-10-2024 08:00,22-10-2024 08:16,65,2,5,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Organic ingredients.,Normal stuff.,2,Michelob Golden,Coors,Pabst,,1163,0
1205,22-10-2024 09:04,22-10-2024 09:12,37,1,5,11,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5,5,5,4,5,5,9,A refreshing drink full of flavor,Just a little weak in alcohol volume,2,Coors,Miller lite,Non alcoholic drink,,1163,0
1213,22-10-2024 09:40,22-10-2024 10:01,26,1,5,11,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,It seems like it would be a light and crisp taste,Not a lot of alcohol,2,Michlob Ultra,Miller Lite,Bucsh Light,,1163,0
1225,22-10-2024 10:29,22-10-2024 10:38,48,2,5,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Nothing in particular,Nothing in particular,1,,,,,1163,1
1226,22-10-2024 10:37,22-10-2024 10:52,60,1,5,11,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,5,5,5,4,5,5,9,pretty color and packaging,the flavor of all their other products dissuades me from spending money on this,1,,,,,1163,0
1227,22-10-2024 10:43,22-10-2024 10:52,31,1,5,11,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,its only has 85 calories,its 9.99 for 6pk,3,hieniken,busch,none,,1163,0
1240,22-10-2024 11:21,22-10-2024 11:35,49,2,5,11,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,That it's different new and looks good,There is nothing really to not like,1,,,,,1163,1
1241,22-10-2024 11:24,22-10-2024 11:37,41,2,5,11,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,5,5,5,4,5,5,9,I like that it's a better option for you that doesn't sacrifice taste.,There's nothing to dislike about it.,2,Samuel Adams,Stella,Coors,,1163,0
1243,22-10-2024 11:27,22-10-2024 11:40,55,2,5,11,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,5,5,5,4,5,5,9,A crisp refreshing experience.,,2,Bud light,Miller light,Colors lught,,1163,0
1247,22-10-2024 11:40,22-10-2024 11:49,62,2,5,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Nothing never drunk it,Nothing never drunk it,1,,,,,1163,0
1248,22-10-2024 11:45,22-10-2024 11:50,41,1,5,11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,5,5,4,5,5,9,MICHELOB ULTRA HAS RICH AUTHENTIC FLAVOR THAT ABSOLUTELY INTRIGUES ME,RICH IN CALORIES i NEED TO WORK OUT,3,BUD LIGHT,STELL ARTOIS,WHITE CLAW,,1163,0
1256,22-10-2024 11:47,22-10-2024 12:11,35,1,5,11,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,5,5,5,4,5,5,9,i like it a lot,none,3,corona,budweirse,lig,,1163,0
1258,22-10-2024 12:05,22-10-2024 12:14,34,2,5,11,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,5,5,5,4,5,5,9,The low carb benefit,Not sure if it would be as good because of very low alcohol content,2,Michelob ultra,Bud light,Coors,,1163,0
1260,22-10-2024 12:14,22-10-2024 12:22,40,2,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,9,Awesome love it tasty and delicious,I'm not sure nothing,1,,,,,1163,0
1261,22-10-2024 12:29,22-10-2024 12:40,61,1,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Light beer with refreshing taste,Nothing,1,,,,,1163,0
1270,22-10-2024 13:28,22-10-2024 13:55,34,1,5,11,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,4,5,5,9,Nice,,3,,Nonr,N,,1163,0
1271,22-10-2024 13:44,22-10-2024 13:57,47,1,5,11,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,It's high alcohol content,It's price,1,,,,,1163,0
1275,22-10-2024 14:04,22-10-2024 14:13,40,2,5,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,5,5,5,4,5,5,9,I would like the flavor,The flavor,1,,,,,1163,0
1283,22-10-2024 14:51,22-10-2024 14:59,51,1,5,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,4,5,5,9,85 calories,Most beer drinkers don't care if alcohol is organic.,1,,,,,1163,1
1284,22-10-2024 14:57,22-10-2024 15:06,54,2,5,11,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,5,5,5,4,5,5,9,No comment,No comment,1,,,,,1163,0
1286,22-10-2024 15:01,22-10-2024 15:14,38,1,5,11,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,5,5,5,4,5,5,9,The price for a 6 pack,Only 3.8% alcohol,2,Bud light,Milwaukee Best,Michelob ultra regular,,1163,0
1287,22-10-2024 14:59,22-10-2024 15:20,35,2,5,11,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,5,5,5,4,5,5,9,everything appealing,none,3,nice,like it,the best,,1163,0
1296,22-10-2024 15:36,22-10-2024 15:52,52,2,5,11,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,5,5,4,5,5,9,Less calories,Less alcohol,1,,,,,1163,0
1307,22-10-2024 16:17,22-10-2024 16:33,35,2,5,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Nothing because I don’t like/drink it,It don’t look good at all,3,Necklace,Ring,Earting,,1163,0
1324,22-10-2024 17:31,22-10-2024 17:44,40,1,5,11,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,5,5,5,4,5,5,9,if you wanted a low ABV beer i guess this would be okay,the alcohol content is just too low,1,,,,,1163,0
1340,22-10-2024 18:40,22-10-2024 18:59,63,1,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,The bottle and the coloring,Nothing,3,Budweiser,Coors,Corina,,1163,0
1355,22-10-2024 19:27,22-10-2024 19:36,65,1,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Organic form,Light lager,1,,,,,1163,0
1357,22-10-2024 18:43,22-10-2024 19:38,63,2,5,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,5,5,4,5,5,9,Organic is appealing,nothing comes to mind,2,Corona Premier,Vodka,Tequila,,1163,0
1364,22-10-2024 19:50,22-10-2024 19:57,42,2,5,11,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,5,5,4,5,5,9,Nothing,Everything,1,,,,,1163,0
1373,22-10-2024 19:46,22-10-2024 20:08,46,2,5,11,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,5,5,4,5,5,9,The amount of carbs and calories are the most appealing to me.,"The color gold and the word make me think if Miller for some reason, that steers me away.",1,,,,,1163,1
1382,22-10-2024 20:20,22-10-2024 20:31,55,1,5,11,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,5,5,5,4,5,5,9,Low carb,The taste,2,Michelob light,Coord light,Bush,,1163,0
1385,22-10-2024 20:33,22-10-2024 20:38,29,1,5,11,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,5,5,5,4,5,5,9,The low alcohol percent and price does the trick,Nothing at all,2,Miller Lite,Budlight,Miller,,1163,0
1386,22-10-2024 20:22,22-10-2024 20:42,64,2,5,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,4,5,5,9,The taste,Nothing,3,Bud light,Bush light,Natural  light,,1163,0
1393,22-10-2024 21:31,22-10-2024 21:48,48,2,5,11,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,5,5,5,4,5,5,9,I like that is crisp and made with home grown ingredients,I dislike light low calorie beer,1,,,,,1163,1
1405,22-10-2024 22:37,22-10-2024 22:54,60,2,5,11,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,5,5,5,4,5,5,9,It has only 85 calories,The price is to much,1,,,,,1163,0
1408,22-10-2024 22:51,22-10-2024 23:00,29,2,5,11,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,It might interest me to buy it when I am in the mood for something light. A low alcoholic drink would be perfect,The bottle isn’t too appealing. If I were looking for this in the store it would be hard to find because it doesn’t stand out as much with it’s packaging,1,,,,,1163,0
1409,22-10-2024 22:51,22-10-2024 23:01,45,2,5,11,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,5,5,4,5,5,9,It's a low carb beer,I've tried it and don't like the flavor,1,,,,,1163,1
1416,23-10-2024 01:39,23-10-2024 01:44,30,1,5,11,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,5,5,5,4,5,5,9,clean and slick look,a bit too simple,3,cool,modern,interesting,,1163,0
1417,23-10-2024 01:27,23-10-2024 01:45,44,1,5,11,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,5,5,4,5,5,9,I like that it's 1/3 less alcohol not completely none alcoholic.,Nothing really. Maybe could be $1-2 cheaper.,2,White claw,Mikes harder,Busch light,,1163,1
1441,23-10-2024 07:01,23-10-2024 07:09,63,1,5,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,5,5,4,5,5,9,Premium beer with lower calories at a good price,Nothing - all sounds great,1,,,,,1163,0
1450,23-10-2024 07:19,23-10-2024 07:30,63,1,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,The only thing that I like is that it's a light beer.,I never cared for the taste of Michelob,1,,,,,1163,0
1466,23-10-2024 09:32,23-10-2024 09:40,65,1,5,11,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,5,5,4,5,5,9,I like the Ultra brand,Nothing,2,Regular Michelob Ultra,Coors Light,Michelob,,1163,0
1475,23-10-2024 10:18,23-10-2024 10:28,35,2,5,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,5,5,4,5,5,9,I like the lower calorie count.,I don't know if I would like this beer.,2,Blue Moon,Summer Shandy,Budlight,,1163,0
1485,23-10-2024 11:44,23-10-2024 11:55,59,2,5,11,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,5,5,5,4,5,5,9,Organic American products,Price,2,Heineken silver,Coors light,Bud light,,1163,0
1489,23-10-2024 11:51,23-10-2024 12:05,52,2,5,11,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Nothing,Low alcohol,1,,,,,1163,0
1490,15-10-2024 23:11,15-10-2024 23:19,34,1,5,11,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,5,5,5,4,5,5,9,ULTRA is my favorite is so good,Is so good and better than the one you decide,3,Amazon,Wolmat,Target,,1163,0
1501,18-10-2024 06:11,18-10-2024 06:21,53,1,5,11,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,5,5,5,4,5,5,9,It's a light beer with low calories,I am not sure until I taste it,2,Corona light,,,,1163,0
1525,13-10-2024 11:57,13-10-2024 12:13,21,2,5,11,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,4,5,5,9,I like how it taste.,it not a pretty color.,2,bud light,carna,sweep jucie,,1163,0
1539,22-10-2024 03:02,22-10-2024 03:13,40,1,5,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,4,5,5,9,It's a different beer,It's too much of a stray from the original,1,,,,,1163,0
1577,11-10-2024 11:26,11-10-2024 11:52,29,2,5,11,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,4,5,5,9,Its made with quality American ingredients,Nothing,1,,,,,1163,0
1608,22-10-2024 01:15,22-10-2024 01:26,40,1,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,9,It's very sweet and good for heath,It's very expensive,1,,,,,1163,0
1612,23-10-2024 05:20,23-10-2024 05:34,60,1,5,11,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,Premium organic ingredients,10 bucks for six pack is more that I want to spend.,1,,,,,1163,0
1620,22-10-2024 15:42,22-10-2024 16:09,60,1,5,11,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,it looks like  all the others to me nothing stands out,its michelob then its not only light but ultra light,1,,,,,1163,0
1633,21-10-2024 13:55,21-10-2024 14:11,54,2,5,11,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,5,5,4,5,5,9,I dont really like it so much,I just like Budweiser,1,,,,,1163,0
1650,12-10-2024 12:39,12-10-2024 12:47,38,1,5,11,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,I don't like nothing about this $1 beer,Everything about it,1,,,,,1163,0
1652,22-10-2024 04:11,22-10-2024 04:30,44,2,5,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I really only like Michelob,Don't know,1,,,,,1163,1
1653,17-10-2024 16:22,17-10-2024 16:32,38,2,5,11,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,5,5,5,4,5,5,9,the calroies,"not a fan of the packaging, too much gold it feels weird",2,Michelob Ultra,Bud Light,Montuckey,,1163,0
